["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.9404042588996762e+14 5.9591975857639112e-01 -1.7549653789778443e+01
1.9467042727272725e+14 5.5302431459707024e-01 -1.8566113392400911e+01
1.9530453289902281e+14 5.1450789599110991e-01 -1.9595214579030014e+01
1.9594278300653594e+14 4.9701494896714588e-01 -2.0502118424655830e+01
1.9658521836065575e+14 4.6188356638492911e-01 -2.1307913630710445e+01
1.9723188026315788e+14 4.4012519233148162e-01 -2.2138403019096362e+01
1.9788281056105609e+14 4.6552572959532262e-01 -2.2695992593153825e+01
1.9853805165562916e+14 3.7864264832370453e-01 -2.3154953285638392e+01
1.9919764651162791e+14 2.8812309329593716e-01 -2.3670793105218216e+01
1.9986163866666666e+14 2.2405790541653448e-01 -2.4571959802770120e+01
("port 1","mode 1",1,"port 4",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.1729277183716016e-01 1.4477545145264301e+00
1.8795765391849531e+14 4.6236834383373815e-01 -3.1918382793968686e-01
1.8854871572327044e+14 4.9215489867784901e-01 -1.9001950329234112e+00
1.8914350662460569e+14 5.1577235358992390e-01 -3.5713155295329675e+00
1.8974206202531647e+14 4.9384236203988113e-01 -5.3241879067325053e+00
1.9034441777777778e+14 4.9431372454503170e-01 -6.9451077709672981e+00
1.9095061019108281e+14 4.3849999860199840e-01 -8.4729674105097708e+00
1.9156067603833866e+14 4.0105579617999043e-01 -1.0034712398879359e+01
1.9217465256410256e+14 3.3909275098566044e-01 -1.1481631106942974e+01
1.9279257749196144e+14 3.1879261715117313e-01 -1.2943810058207950e+01
1.9341448903225806e+14 2.9021755581390590e-01 -1.4305428923101193e+01
1.9404042588996762e+14 2.8528503403851729e-01 -1.5707876048281177e+01
1.9467042727272725e+14 3.2942557101960129e-01 -1.6856770673554895e+01
1.9530453289902281e+14 3.5833647502398863e-01 -1.7873301732641234e+01
1.9594278300653594e+14 3.9443017754646675e-01 -1.9023861155101507e+01
1.9658521836065575e+14 4.6247317293339324e-01 -1.9825578073002937e+01
1.9723188026315788e+14 4.8635271269581876e-01 -2.0633056506801257e+01
1.9788281056105609e+14 5.7320250228044323e-01 -2.1374443415338146e+01
1.9853805165562916e+14 5.8605767287361898e-01 -2.1903918884395154e+01
1.9919764651162791e+14 5.3336171834969459e-01 -2.2454910230277875e+01
1.9986163866666666e+14 5.8872365325670239e-01 -2.2973250089467953e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 3.1682981895755975e-02 2.4640944624073780e+00
1.8795765391849531e+14 2.8044548979190256e-02 2.5527966073121302e+00
1.8854871572327044e+14 6.4254425298552728e-02 4.4912552563296284e+00
1.8914350662460569e+14 1.3742480463875975e-01 5.6129261390027896e+00
1.8974206202531647e+14 1.6878805448959919e-01 7.0256768926225037e+00
1.9034441777777778e+14 1.6424191111097308e-01 8.3682833698317083e+00
1.9095061019108281e+14 1.6575701537867238e-01 9.9537777499135274e+00
1.9156067603833866e+14 1.3693176071678329e-01 1.1607571979653603e+01
1.9217465256410256e+14 1.5718427768751456e-01 1.3249586551897883e+01
1.9279257749196144e+14 1.5332297883029078e-01 1.5383169859755792e+01
1.9341448903225806e+14 9.7391610453375022e-02 1.7355084848006168e+01
1.9404042588996762e+14 9.2656040387991037e-02 1.8856020871251211e+01
1.9467042727272725e+14 1.3563704009065797e-01 2.1191498653728747e+01
1.9530453289902281e+14 1.3408257996033460e-01 2.3641025691635573e+01
1.9594278300653594e+14 1.1427395828742719e-01 2.6011679789081604e+01
1.9658521836065575e+14 1.0305023029852413e-01 2.8527235420597172e+01
1.9723188026315788e+14 1.2722916344347618e-01 3.1459070387149090e+01
1.9788281056105609e+14 7.1841403088980973e-02 3.4157561572175936e+01
1.9853805165562916e+14 9.0282814294891225e-02 3.7120397087927280e+01
1.9919764651162791e+14 1.1476439635445096e-01 3.4059721623110534e+01
1.9986163866666666e+14 8.9860678527358781e-02 3.1406085288228219e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 1.5688084009279621e-01 1.9553978021371383e+00
1.8795765391849531e+14 1.4354340132967336e-01 2.6590551998313212e+00
1.8854871572327044e+14 1.1588661298005495e-01 4.2060510141228082e+00
1.8914350662460569e+14 1.5756708432957114e-01 5.4618310098336451e+00
1.8974206202531647e+14 1.7753458428587415e-01 6.9108073597438633e+00
1.9034441777777778e+14 1.6934113512817942e-01 8.2347477084539413e+00
1.9095061019108281e+14 1.7767740820151420e-01 9.8664535364567705e+00
1.9156067603833866e+14 1.4365309275939919e-01 1.1630748740279726e+01
1.9217465256410256e+14 1.4261487905636200e-01 1.3332628228707529e+01
1.9279257749196144e+14 1.3545172502686281e-01 1.5211852625236084e+01
1.9341448903225806e+14 1.4288229206263328e-01 1.7081774952853646e+01
1.9404042588996762e+14 1.1945947499653871e-01 1.9248780195891115e+01
1.9467042727272725e+14 1.1401949406834368e-01 2.1092019826471326e+01
1.9530453289902281e+14 1.2467477211201458e-01 2.3487511594767710e+01
1.9594278300653594e+14 8.8380645311177494e-02 2.5499376175331342e+01
1.9658521836065575e+14 7.2397961124547411e-02 2.8001367900837067e+01
1.9723188026315788e+14 6.0615839311132132e-02 3.0372494197424015e+01
1.9788281056105609e+14 1.0369652927753699e-01 3.2259241513556425e+01
1.9853805165562916e+14 1.5594802614811881e-01 3.5308321527613302e+01
1.9919764651162791e+14 1.9935626479089294e-01 3.8423184948750617e+01
1.9986163866666666e+14 2.5880771393852164e-01 3.5579782381973956e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.1729276741866759e-01 1.4477544945018390e+00
1.8795765391849531e+14 4.6236835195980536e-01 -3.1918384032044128e-01
1.8854871572327044e+14 4.9215490777635101e-01 -1.9001950227448603e+00
1.8914350662460569e+14 5.1577235157818013e-01 -3.5713155373943426e+00
1.8974206202531647e+14 4.9384236260439901e-01 -5.3241879014029507e+00
1.9034441777777778e+14 4.9431372137611251e-01 -6.9451077616717622e+00
1.9095061019108281e+14 4.3849999224150504e-01 -8.4729674250134543e+00
1.9156067603833866e+14 4.0105579497781790e-01 -1.0034712393466787e+01
1.9217465256410256e+14 3.3909275642627662e-01 -1.1481631125846661e+01
1.9279257749196144e+14 3.1879260916512514e-01 -1.2943810050954697e+01
1.9341448903225806e+14 2.9021754452152765e-01 -1.4305428934829051e+01
1.9404042588996762e+14 2.8528505408859284e-01 -1.5707876080816362e+01
1.9467042727272725e+14 3.2942557596528388e-01 -1.6856770640329142e+01
1.9530453289902281e+14 3.5833645517599971e-01 -1.7873301721141850e+01
1.9594278300653594e+14 3.9443018658865175e-01 -1.9023861220331447e+01
1.9658521836065575e+14 4.6247318489827355e-01 -1.9825578080728850e+01
1.9723188026315788e+14 4.8635269841360818e-01 -2.0633056469592884e+01
1.9788281056105609e+14 5.7320249964845171e-01 -2.1374443430425757e+01
1.9853805165562916e+14 5.8605767965709854e-01 -2.1903918882398088e+01
1.9919764651162791e+14 5.3336171582966940e-01 -2.2454910240577281e+01
1.9986163866666666e+14 5.8872364789302545e-01 -2.2973250078935852e+01
("port 3","mode 1",1,"port 4",1,"transmission")
(21, 3)
1.8737028625000000e+14 2.8562049110230475e-01 -9.3988376834511322e-01
1.8795765391849531e+14 3.9849622973401266e-01 -2.9138090160497150e+00
1.8854871572327044e+14 4.1093688288639463e-01 -4.9393651404361112e+00
1.8914350662460569e+14 4.2548192720514449e-01 -6.6985361318158319e+00
1.8974206202531647e+14 4.6464269560387766e-01 -8.2164726792087208e+00
