["port 4","RIGHT"]
["port 1","LEFT"]
["port 3","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.9986163866666666e+14 4.4432521617338561e-01 -3.3744114941157790e+01
("port 3","mode 1",1,"port 4",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.2923909713321449e-01 -2.1339039782675577e+00
1.8795765391849531e+14 5.2104985540357329e-01 -4.6333414039727625e+00
1.8854871572327044e+14 5.5273348291402069e-01 -7.0966825429825020e+00
1.8914350662460569e+14 5.8519794558022309e-01 -9.3995084961852484e+00
1.8974206202531647e+14 6.0291202401590871e-01 -1.1688084709394674e+01
1.9034441777777778e+14 6.1065266958920883e-01 -1.3863272757331979e+01
1.9095061019108281e+14 6.5636063026757041e-01 -1.6004946138612013e+01
1.9156067603833866e+14 6.6074283682628920e-01 -1.8079627688413865e+01
1.9217465256410256e+14 6.7668042754812485e-01 -2.0053210457093488e+01
1.9279257749196144e+14 6.8592813824311094e-01 -2.1982825193719986e+01
1.9341448903225806e+14 6.9553919727478075e-01 -2.3826107511233985e+01
1.9404042588996762e+14 6.9755393064946969e-01 -2.5594959839252692e+01
1.9467042727272725e+14 6.9413169145601783e-01 -2.7296539590408528e+01
1.9530453289902281e+14 6.7614423287312986e-01 -2.8936778145669003e+01
1.9594278300653594e+14 6.5273111283813257e-01 -3.0498918941336854e+01
1.9658521836065575e+14 6.3060150284383520e-01 -3.1992803553138938e+01
1.9723188026315788e+14 6.0308198021048620e-01 -3.3411354209096011e+01
1.9788281056105609e+14 5.7418181765667120e-01 -3.4733198224755419e+01
1.9853805165562916e+14 5.6151300335191889e-01 -3.5973344063203683e+01
1.9919764651162791e+14 4.8217369107003621e-01 -3.7194050712075196e+01
1.9986163866666666e+14 4.8308361704359015e-01 -3.8302933670531608e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.2923909848938810e-01 -2.1339040078460347e+00
1.8795765391849531e+14 5.2104985422579508e-01 -4.6333413991600949e+00
1.8854871572327044e+14 5.5273348656201027e-01 -7.0966825539583454e+00
1.8914350662460569e+14 5.8519793844378620e-01 -9.3995085022208933e+00
1.8974206202531647e+14 6.0291203619045730e-01 -1.1688084716054195e+01
1.9034441777777778e+14 6.1065266480951141e-01 -1.3863272757231712e+01
1.9095061019108281e+14 6.5636063469294881e-01 -1.6004946159182140e+01
1.9156067603833866e+14 6.6074283544583257e-01 -1.8079627696258694e+01
1.9217465256410256e+14 6.7668042802737860e-01 -2.0053210468032081e+01
1.9279257749196144e+14 6.8592813792509200e-01 -2.1982825201942092e+01
1.9341448903225806e+14 6.9553919777126716e-01 -2.3826107519490346e+01
1.9404042588996762e+14 6.9755393209051098e-01 -2.5594959847843569e+01
1.9467042727272725e+14 6.9413168945894643e-01 -2.7296539598330348e+01
1.9530453289902281e+14 6.7614423429644033e-01 -2.8936778151524702e+01
1.9594278300653594e+14 6.5273110395915046e-01 -3.0498918948744894e+01
1.9658521836065575e+14 6.3060150337690146e-01 -3.1992803557840887e+01
1.9723188026315788e+14 6.0308196953691473e-01 -3.3411354210838603e+01
1.9788281056105609e+14 5.7418180343830083e-01 -3.4733198214858568e+01
1.9853805165562916e+14 5.6151300113770242e-01 -3.5973344069766434e+01
1.9919764651162791e+14 4.8217369373841118e-01 -3.7194050716714194e+01
1.9986163866666666e+14 4.8308362735301763e-01 -3.8302933672602592e+01
("port 2","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.0583153405268921e-01 2.5371546377689134e+00
1.8795765391849531e+14 5.0844598785367134e-01 3.6188624523147694e-03
1.8854871572327044e+14 5.5315541531855883e-01 -2.3621413023673119e+00
1.8914350662460569e+14 5.6636175702352376e-01 -4.7509565466996104e+00
1.8974206202531647e+14 6.1020057765177793e-01 -6.9801008396744093e+00
1.9034441777777778e+14 6.2893335882066281e-01 -9.1897907946731738e+00
1.9095061019108281e+14 6.4921857631839275e-01 -1.1314224872106854e+01
1.9156067603833866e+14 6.7202906938975027e-01 -1.3358974707798293e+01
1.9217465256410256e+14 6.8265809203999706e-01 -1.5340110155656440e+01
1.9279257749196144e+14 6.9263411429702115e-01 -1.7253747649723906e+01
1.9341448903225806e+14 6.9367160550568585e-01 -1.9099935493854513e+01
1.9404042588996762e+14 6.8580190379290362e-01 -2.0880097950476632e+01
1.9467042727272725e+14 6.8313325754293142e-01 -2.2582855027698919e+01
1.9530453289902281e+14 6.7609067646418641e-01 -2.4226262741924963e+01
1.9594278300653594e+14 6.5504949458181250e-01 -2.5791512245555118e+01
1.9658521836065575e+14 6.2977256911981550e-01 -2.7257640753949108e+01
1.9723188026315788e+14 6.2010959637333196e-01 -2.8676684548925589e+01
1.9788281056105609e+14 5.8585032369527956e-01 -3.0036800720983436e+01
1.9853805165562916e+14 5.2422114896432137e-01 -3.1350334103933356e+01
1.9919764651162791e+14 4.8310390851404073e-01 -3.2619650019097250e+01
1.9986163866666666e+14 4.4432521911429229e-01 -3.3744114936772370e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(21, 3)
1.8737028625000000e+14 8.1308344645353359e-02 2.8945485341077206e+00
1.8795765391849531e+14 6.3050488371903177e-02 3.6146678633234246e+00
1.8854871572327044e+14 5.6318065267261463e-02 4.3935126000074520e+00
1.8914350662460569e+14 3.8688047140038456e-02 5.9138601927132157e+00
1.8974206202531647e+14 3.8804807860548511e-02 7.4363704369502104e+00
1.9034441777777778e+14 2.1124837362746975e-02 9.2249300929715012e+00
1.9095061019108281e+14 3.5859508870614383e-03 1.0054882042761578e+01
1.9156067603833866e+14 9.5603445636930566e-04 1.3024059985238488e+01
1.9217465256410256e+14 6.0065571930126771e-03 1.0042105994669200e+01
1.9279257749196144e+14 4.2573871650424967e-03 1.2362176741101729e+01
1.9341448903225806e+14 2.1562957997697300e-03 1.5251104871077818e+01
1.9404042588996762e+14 7.0063985116710593e-03 1.8057892321709751e+01
1.9467042727272725e+14 6.9215126275798443e-03 1.9963603625379839e+01
1.9530453289902281e+14 1.0898656672289654e-02 2.1563304102308187e+01
1.9594278300653594e+14 3.4289177385159516e-03 2.4686805016685135e+01
1.9658521836065575e+14 4.5412385385296926e-03 2.5601470173116713e+01
1.9723188026315788e+14 1.4831025495822530e-03 2.4680171401087676e+01
1.9788281056105609e+14 3.2704312703756622e-02 2.6548521464877439e+01
1.9853805165562916e+14 2.6651050794704825e-02 2.6737639270467657e+01
1.9919764651162791e+14 5.4653204299440428e-02 2.8480431242164890e+01
1.9986163866666666e+14 6.8428353789659030e-02 3.1382598973118636e+01
("port 2","mode 1",1,"port 4",1,"transmission")
(21, 3)
1.8737028625000000e+14 2.6668411375665065e-02 2.5561527216173063e+00
1.8795765391849531e+14 2.4662220478949861e-02 2.8584865339717065e+00
1.8854871572327044e+14 1.4670118203559008e-02 2.5426500034853672e+00
1.8914350662460569e+14 1.9960244560677003e-02 2.2960956197069038e+00
1.8974206202531647e+14 2.4101316844952557e-02 2.3053954394990139e+00
1.9034441777777778e+14 6.8218616110451826e-03 3.6991550684483623e+00
1.9095061019108281e+14 1.2584273779872000e-02 2.5815209477824532e+00
1.9156067603833866e+14 8.6875186913471444e-03 -3.4035898633276163e-01
1.9217465256410256e+14 6.1754232809861868e-03 2.3994312384831971e+00
1.9279257749196144e+14 1.9096480811795467e-03 3.4027795671734014e+00
1.9341448903225806e+14 2.0013553455389354e-03 6.0002273798207932e+00
1.9404042588996762e+14 1.1382344521310983e-03 8.9884311901205578e+00
1.9467042727272725e+14 5.2552299485348515e-03 8.1142534089980174e+00
1.9530453289902281e+14 8.3542978707081082e-03 1.0212569373735935e+01
1.9594278300653594e+14 8.9547386740997641e-03 1.1555151130517661e+01
1.9658521836065575e+14 1.4815401694633554e-02 1.3104553029033058e+01
1.9723188026315788e+14 1.1687654034759298e-02 1.2763887835927518e+01
1.9788281056105609e+14 2.8991741817804603e-02 1.4149716599663639e+01
1.9853805165562916e+14 2.9071773719307355e-02 1.6326309660681463e+01
1.9919764651162791e+14 1.5686918326198444e-02 1.8483313872252161e+01
1.9986163866666666e+14 4.5868937972093904e-02 1.9788600126548150e+01
("port 4","mode 1",1,"port 1",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.0583153105207257e-01 2.5371546617117455e+00
1.8795765391849531e+14 5.0844598612896896e-01 3.6188552799205215e-03
1.8854871572327044e+14 5.5315540452048217e-01 -2.3621413051351472e+00
1.8914350662460569e+14 5.6636175984304427e-01 -4.7509565539885141e+00
1.8974206202531647e+14 6.1020057687607787e-01 -6.9801008401281432e+00
1.9034441777777778e+14 6.2893336358976604e-01 -9.1897908067258296e+00
1.9095061019108281e+14 6.4921857736391619e-01 -1.1314224871098133e+01
1.9156067603833866e+14 6.7202906760240766e-01 -1.3358974706311898e+01
1.9217465256410256e+14 6.8265809241278863e-01 -1.5340110155065751e+01
1.9279257749196144e+14 6.9263411445792444e-01 -1.7253747649532173e+01
1.9341448903225806e+14 6.9367160483312362e-01 -1.9099935494312945e+01
1.9404042588996762e+14 6.8580190287292642e-01 -2.0880097951240273e+01
1.9467042727272725e+14 6.8313325877531839e-01 -2.2582855028941619e+01
1.9530453289902281e+14 6.7609067554312030e-01 -2.4226262741529816e+01
1.9594278300653594e+14 6.5504949100148990e-01 -2.5791512244095848e+01
1.9658521836065575e+14 6.2977257107374174e-01 -2.7257640751116636e+01
1.9723188026315788e+14 6.2010959267205013e-01 -2.8676684554070157e+01
1.9788281056105609e+14 5.8585032458039055e-01 -3.0036800712489505e+01
1.9853805165562916e+14 5.2422115564348559e-01 -3.1350334123681712e+01
1.9919764651162791e+14 4.8310390082654986e-01 -3.2619649999807820e+01
1.9986163866666666e+14 4.4432521617338805e-01 -3.3744114941157768e+01
("port 4","mode 1",1,"port 3",1,"transmission")
(21, 3)
1.8737028625000000e+14 5.2923909713320560e-01 -2.1339039782675426e+00
1.8795765391849531e+14 5.2104985540356774e-01 -4.6333414039727705e+00
1.8854871572327044e+14 5.5273348291401825e-01 -7.0966825429824913e+00
