["port_1","LEFT"]
["port_2","RIGHT"]
["port_3","LEFT"]
["port_4","RIGHT"]
("port_1","mode 1",1,"port_1",1,"transmission",5.39459e-14)
(53, 3)
1.9359660086208747e+14 6.5447920769413226e-01 1.4392443679117704e+00
1.9361596245833331e+14 6.5494485051374751e-01 1.4392435099454188e+00
1.9363532405457916e+14 6.5540738467970039e-01 1.4392443679117704e+00
1.9386578950666666e+14 6.6071616538833278e-01 1.4393748007594216e+00
1.9411561655499997e+14 6.6622038468220102e-01 1.4398203238453691e+00
1.9436544360333331e+14 6.7162378766798492e-01 1.4409073740522453e+00
1.9461527065166666e+14 6.7684031021772684e-01 1.4430218913735147e+00
1.9486509769999997e+14 6.8164115452584961e-01 1.4462403947411047e+00
1.9511492474833331e+14 6.8593022339204723e-01 1.4503691771054383e+00
1.9536475179666666e+14 6.8981634131611225e-01 1.4553425974756693e+00
1.9561457884499997e+14 6.9338042086856122e-01 1.4614358524793962e+00
1.9586440589333331e+14 6.9645371686321222e-01 1.4690323243838979e+00
1.9611423294166666e+14 6.9866536647780519e-01 1.4782738715695927e+00
1.9636405999000000e+14 6.9962755658036702e-01 1.4889664406968841e+00
1.9661388703833331e+14 6.9904498513113622e-01 1.5006644112121366e+00
1.9686371408666666e+14 6.9678956188254670e-01 1.5127038053222115e+00
1.9711354113500000e+14 6.9304257607960162e-01 1.5243090917568678e+00
1.9736336818333331e+14 6.8834662573879768e-01 1.5350103735370657e+00
1.9761319523166666e+14 6.8330870736851401e-01 1.5450513709683951e+00
1.9786302228000000e+14 6.7811522498954335e-01 1.5552178604219922e+00
1.9811284932833331e+14 6.7240803407143201e-01 1.5660547031036982e+00
1.9836267637666666e+14 6.6572879061487600e-01 1.5772862878426330e+00
1.9861250342500000e+14 6.5804747046344325e-01 1.5881173695786461e+00
1.9886233047333331e+14 6.4980221989357578e-01 1.5980190433756278e+00
1.9911215752166666e+14 6.4149739223103086e-01 1.6071128876716883e+00
1.9936198457000000e+14 6.3339347380669642e-01 1.6159099138903599e+00
1.9961181161833331e+14 6.2552643094660954e-01 1.6249583547468451e+00
1.9986163866666666e+14 6.1779325873763946e-01 1.6347988198483987e+00
("port_1","mode 1",1,"port_3",1,"transmission",3.2501335906102873e-13)
(53, 3)
1.8737028624999997e+14 3.2231111708590583e-05 -1.2953992145304962e+00
1.8762011329833331e+14 3.0964394958946215e-05 -1.6564292519501065e+00
1.8786994034666662e+14 2.6416802157569155e-05 -2.0632650901026746e+00
1.8811976739499997e+14 1.9305511535697704e-05 -2.4107294848146448e+00
1.8836959444333331e+14 1.3780841837304011e-05 -2.5798688367523530e+00
1.8861942149166662e+14 1.1822950828671077e-05 -2.7746353019690577e+00
1.8886924853999997e+14 9.9467985338226391e-06 -3.2151188031238767e+00
1.8911907558833331e+14 6.7198050886034918e-06 -3.9795639077852565e+00
1.8936890263666662e+14 4.2354733417021938e-06 -5.2574844641636806e+00
1.8961872968499997e+14 4.8566165861775940e-06 -6.4926511074848463e+00
1.8986855673333331e+14 5.6834085816073999e-06 -7.0975691109157628e+00
1.9011838378166662e+14 6.2196600729777885e-06 -7.2921069761991060e+00
1.9036821082999997e+14 7.7524751997635801e-06 -7.4128259865219368e+00
1.9061803787833331e+14 9.4977901968275397e-06 -7.6578107368409345e+00
1.9086786492666666e+14 9.7191033131638216e-06 -7.9630925662032261e+00
1.9111769197499997e+14 8.2658518776796285e-06 -8.1843069022861954e+00
1.9136751902333331e+14 6.5944152382573264e-06 -8.2361738892338003e+00
1.9161734607166666e+14 5.6684709018162173e-06 -8.1377709481704041e+00
1.9186717311999997e+14 5.0658185520073880e-06 -8.0787526922973960e+00
1.9211700016833331e+14 4.2005271937054367e-06 -7.9146008234192236e+00
1.9236682721666666e+14 4.2345157579481680e-06 -7.5835667907250270e+00
1.9261665426499997e+14 5.1527233781607920e-06 -7.4700311309103027e+00
1.9286648131333331e+14 5.7174913850159635e-06 -7.5032980605100583e+00
1.9311630836166666e+14 5.3882281535016073e-06 -7.5717217476230596e+00
1.9336613540999997e+14 4.8505119651827860e-06 -7.5947493396561150e+00
1.9359660086208747e+14 4.3259133065979893e-06 -7.7072212499333999e+00
1.9361596245833331e+14 4.1828299757162909e-06 -7.7046248668135702e+00
1.9363532405457916e+14 4.0229658727737969e-06 -7.7072212499333999e+00
1.9386578950666666e+14 2.8855897947047691e-06 -7.9117412206969782e+00
1.9411561655499997e+14 1.1693155913966997e-06 -8.4191656877851759e+00
1.9436544360333331e+14 1.2837174484814856e-06 -1.0619902179845635e+01
1.9461527065166666e+14 2.9065507489857019e-06 -1.0981460522409076e+01
1.9486509769999997e+14 4.4352205149737999e-06 -1.1069890058014852e+01
1.9511492474833331e+14 5.7419459311444766e-06 -1.1131832510338006e+01
1.9536475179666666e+14 6.7491661848824845e-06 -1.1218202654987770e+01
1.9561457884499997e+14 6.9969914396331885e-06 -1.1343657204673566e+01
1.9586440589333331e+14 6.4654771557696544e-06 -1.1468657846595555e+01
1.9611423294166666e+14 5.2085581403318529e-06 -1.1615374807840151e+01
1.9636405999000000e+14 3.5109597968497674e-06 -1.1859638487062762e+01
1.9661388703833331e+14 1.8803138066686558e-06 -1.2643271151884798e+01
1.9686371408666666e+14 2.9343402721447206e-06 -1.4006993427636566e+01
1.9711354113500000e+14 5.8608692523190002e-06 -1.4443686433391580e+01
1.9736336818333331e+14 9.0004614719703238e-06 -1.4680617157169532e+01
1.9761319523166666e+14 1.1855311195183848e-05 -1.4856923063064322e+01
1.9786302228000000e+14 1.4038542693705795e-05 -1.5016167686936900e+01
1.9811284932833331e+14 1.5167771723897458e-05 -1.5162137000023957e+01
1.9836267637666666e+14 1.5106087765563511e-05 -1.5307069084499156e+01
1.9861250342500000e+14 1.3702399737022429e-05 -1.5441009971078053e+01
1.9886233047333331e+14 1.1059658950566745e-05 -1.5569846609453711e+01
1.9911215752166666e+14 7.1671172718979464e-06 -1.5689700352348394e+01
1.9936198457000000e+14 1.9762250285653652e-06 -1.5643907747629830e+01
1.9961181161833331e+14 4.2967840927858725e-06 -1.3130602108607704e+01
1.9986163866666666e+14 1.0593043108832910e-05 -1.3253382113717214e+01
("port_1","mode 1",1,"port_4",1,"transmission",2.6022387859388886e-12)
(53, 3)
1.8737028624999997e+14 3.9256781636556953e-01 2.5481803617014492e-01
1.8762011329833331e+14 4.0346756949684726e-01 2.1644053157581752e-01
1.8786994034666662e+14 4.1545083054431109e-01 1.8020833114783888e-01
1.8811976739499997e+14 4.2846538874167628e-01 1.4718974863713810e-01
1.8836959444333331e+14 4.4211865444616022e-01 1.1799917379201307e-01
1.8861942149166662e+14 4.5591300799464690e-01 9.2429759609726672e-02
1.8886924853999997e+14 4.6954168820474929e-01 6.9907605627110542e-02
1.8911907558833331e+14 4.8283738918819524e-01 5.0036720802900315e-02
1.8936890263666662e+14 4.9556216561704380e-01 3.2528316394066524e-02
1.8961872968499997e+14 5.0742767883594431e-01 1.6783666332062734e-02
1.8986855673333331e+14 5.1833651123306912e-01 1.8736715290253272e-03
1.9011838378166662e+14 5.2851209127048582e-01 -1.2981460111671629e-02
1.9036821082999997e+14 5.3835435713786972e-01 -2.8009738822941374e-02
1.9061803787833331e+14 5.4819463267497237e-01 -4.2929327415875948e-02
1.9086786492666666e+14 5.5816592594955650e-01 -5.7256020597374613e-02
1.9111769197499997e+14 5.6820201904845991e-01 -7.0604550292540980e-02
1.9136751902333331e+14 5.7812562861755468e-01 -8.2905673713815672e-02
1.9161734607166666e+14 5.8784614780970057e-01 -9.4457313264548329e-02
1.9186717311999997e+14 5.9756496787592339e-01 -1.0560065439567223e-01
1.9211700016833331e+14 6.0772055374754552e-01 -1.1613370362299028e-01
1.9236682721666666e+14 6.1856780599845806e-01 -1.2509732623369502e-01
1.9261665426499997e+14 6.2975929782799100e-01 -1.3137735752196081e-01
1.9286648131333331e+14 6.4043533448623213e-01 -1.3465277460561215e-01
1.9311630836166666e+14 6.4980956584216210e-01 -1.3571434019868650e-01
1.9336613540999997e+14 6.5769407108596545e-01 -1.3583203023981169e-01
